scoring 122 records  zones=["TRAIN"] sources=["mitdb", "svdb", "nsrdb", "stdb", "qtdb", "ltdb"] lead=0 tol=150ms gate=false
source       record   zone    nref      TP      FP      FN      Se%     PPV%    bad%
stdb            305  TRAIN    1036    1015     132      21   97.973   88.492    0.26
stdb            319  TRAIN    2559    2549     374      10   99.609   87.205    0.81
mitdb           207  TRAIN    1860    1854     266       6   99.677   87.453    0.78
mitdb           108  TRAIN    1763    1736     192      27   98.469   90.041    3.38
mitdb           203  TRAIN    2980    2813      17     167   94.396   99.399    0.68
svdb            865  TRAIN    3162    3155     185       7   99.779   94.461    0.00
mitdb           201  TRAIN    1963    1899       0      64   96.740  100.000    0.39
svdb            886  TRAIN    2223    2215      63       8   99.640   97.234    0.00
svdb            805  TRAIN    2298    2296      56       2   99.913   97.619    0.00
mitdb           208  TRAIN    2955    2894       4      61   97.936   99.862    0.39
stdb            312  TRAIN    2340    2337      36       3   99.872   98.483    0.00
svdb            842  TRAIN    2559    2525       6      34   98.671   99.763    0.00
svdb            848  TRAIN    4259    4199       1      60   98.591   99.976    0.40
svdb            854  TRAIN    2732    2722      27      10   99.634   99.018    0.07
mitdb           116  TRAIN    2412    2387       2      25   98.964   99.916    0.83
nsrdb         19830  TRAIN  109332  109273    1085      59   99.946   99.017    9.44
mitdb           106  TRAIN    2027    2008       0      19   99.063  100.000    0.06
svdb            870  TRAIN    2678    2654       1      24   99.104   99.962    0.18
svdb            860  TRAIN    2418    2414      18       4   99.835   99.260    0.07
svdb            859  TRAIN    3542    3512       1      30   99.153   99.972    0.10
svdb            876  TRAIN    2141    2137      14       4   99.813   99.349    0.00
svdb            888  TRAIN    2313    2310      16       3   99.870   99.312    0.04
svdb            885  TRAIN    1960    1955      10       5   99.745   99.491    0.07
svdb            843  TRAIN    2708    2694       3      14   99.483   99.889    1.40
svdb            881  TRAIN    2263    2251       2      12   99.470   99.911    0.00
svdb            877  TRAIN    2038    2035       9       3   99.853   99.560    0.00
