feature      group          p1        p5       p25       p50       p75       p99
score        all         0.129     0.312     0.699     0.785     0.840     0.938
score        clean       0.592     0.696     0.751     0.807     0.849     0.944
score        noisy       0.089     0.198     0.544     0.698     0.831     0.919
kurtosis     all        -0.518     0.072     1.710     4.286     7.167    21.472
kurtosis     clean       1.108     1.926     3.947     6.531    12.957    21.663
kurtosis     noisy      -0.683    -0.308     0.531     1.568     4.099    19.534
skewness     all        -2.150    -1.966    -1.237     0.338     1.232     4.199
skewness     clean      -2.195    -2.034    -1.594    -0.670     2.830     4.218
skewness     noisy      -1.898    -1.474    -0.157     0.578     1.169     3.934
hf_ratio     all         0.001     0.002     0.004     0.012     0.018     0.026
hf_ratio     clean       0.003     0.003     0.010     0.014     0.020     0.028
hf_ratio     noisy       0.001     0.002     0.003     0.006     0.012     0.023
base_ratio   all         0.030     0.037     0.073     0.183     0.269     0.698
base_ratio   clean       0.029     0.034     0.059     0.080     0.219     0.494
base_ratio   noisy       0.047     0.074     0.169     0.251     0.358     0.785
qrs_ratio    all         0.092     0.130     0.227     0.452     0.548     0.654
qrs_ratio    clean       0.166     0.203     0.363     0.533     0.567     0.658
qrs_ratio    noisy       0.084     0.110     0.171     0.240     0.427     0.621
p2p_rel      all         0.647     0.695     0.913     1.016     1.226     7.681
p2p_rel      clean       0.638     0.675     0.859     0.965     1.057     1.499
p2p_rel      noisy       0.687     0.784     0.997     1.202     2.273     9.356
flat_frac    all         0.010     0.021     0.085     0.154     0.206     0.300
flat_frac    clean       0.051     0.081     0.147     0.189     0.237     0.304
flat_frac    noisy       0.008     0.014     0.039     0.086     0.142     0.246
sat_frac     all         0.000     0.000     0.000     0.000     0.000     0.193
sat_frac     clean       0.000     0.000     0.000     0.000     0.000     0.000
sat_frac     noisy       0.000     0.000     0.000     0.000     0.000     0.246
p2p          all         2.242     2.423     2.632     2.977     3.996    21.623
p2p          clean       2.183     2.373     2.572     2.696     3.282     4.196
p2p          noisy       2.440     2.575     2.952     3.989     7.643    25.613
